City_ID,City,Country,Max Temp,Latitude,Longitude,Hotel Name
383,Nambucca Heads,AU,78.8,-30.65,153.0,
384,Barabai,ID,81.27,-2.5833,115.3833,
385,Mongo,TD,83.97,12.1844,18.693,
388,Padang,ID,86.05,-0.9492,100.3543,
392,Phuket,TH,84.42,8.0,98.25,
393,Celestun,MX,75.4,20.8667,-90.4,
394,Kinablangan,PH,79.99,7.6947,126.5503,
402,Khambhat,IN,78.94,22.3,72.6167,
403,Dingle,PH,80.24,10.9995,122.6711,
411,Sabang,ID,79.93,5.8933,95.3214,
412,Mackay,AU,80.69,-21.15,149.2,
418,Tarakan,ID,83.7,3.3,117.6333,
419,Gigmoto,PH,79.59,13.7796,124.39,
422,Sinor,IN,82.56,21.9167,73.3333,
424,Shakawe,BW,86.56,-18.3667,21.85,
436,Lamu,KE,88.02,-2.2717,40.902,
440,Sinnamary,GF,77.4,5.3833,-52.95,
442,Pandan,PH,78.91,14.0453,124.1694,
445,Broken Hill,AU,85.71,-31.95,141.4333,
448,Beira,MZ,84.29,-19.8436,34.8389,
453,Boa Vista,BR,76.98,2.8197,-60.6733,
454,Bandarbeyla,SO,80.65,9.4942,50.8122,
459,Lodja,CD,87.1,-3.4833,23.4333,
463,Tautira,PF,78.82,-17.7333,-149.15,
468,Bowen,AU,80.82,-20.0167,148.2333,
475,Vavuniya,LK,82.47,8.7514,80.4971,
479,Inongo,CD,77.74,-1.95,18.2667,
481,Songea,TZ,80.55,-10.6833,35.65,
486,Hervey Bay,AU,79.03,-25.2986,152.8535,
490,Harrismith,ZA,75.04,-28.2728,29.1295,
491,Mvangue,CM,84.61,2.9667,11.5167,
492,Nacala,MZ,79.92,-14.5428,40.6728,
495,Durban,ZA,77.92,-29.8579,31.0292,
502,Natal,BR,80.82,-5.795,-35.2094,
504,Tambun,ID,83.48,-6.2641,107.0712,
507,Gogrial,SS,87.37,8.5332,28.1004,
508,Santa Rosa,PH,89.58,14.3122,121.1114,
